"STATION","NAME","DATE","AWND","DAEV","DASF","DAWM","EVAP","FMTM","MDEV","MDSF","MDWM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-03",,,,,,,,,,,"0.00",,"0.0",,,"41","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-04",,,,,,,,,,,"0.00",,"0.0",,,"38","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-05",,,,,,,,,,,"0.00",,"0.0",,,"50","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-06",,,,,,,,,,,"0.00",,"0.0",,,"53","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-07",,,,,,,,,,,"0.30",,"0.0",,,"44","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-08",,,,,,,,,,,"0.00",,"0.0",,,"52","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-09",,,,,,,,,,,"0.00",,"0.0",,,"47","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-10",,,,,,,,,,,"0.00",,"0.0",,,"47","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-11",,,,,,,,,,,"0.00",,"0.0",,,"40","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-12",,,,,,,,,,,"0.00",,"0.0",,,"48","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-13",,,,,,,,,,,"0.00",,"0.0",,,"45","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-14",,,,,,,,,,,"0.00",,"0.0",,,"46","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-15",,,,,,,,,,,"0.00",,"0.0",,,"54","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-16",,,,,,,,,,,"0.00",,"0.0",,,"67","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-17",,,,,,,,,,,"0.04",,"0.0",,,"57","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
