"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-26","0.00","85","55"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-27","0.00","83","52"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-28","0.00","83","47"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-29","0.00","89","51"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-30","0.00","91","58"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-08-31","0.00","78","59"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-01","0.11","70","53"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-02","0.00","83","48"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-03","0.00","89","59"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-04","0.00","92","55"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-05","0.00","92","54"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-06","0.00","92","56"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-07","0.00","85","53"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-08","0.00","88","57"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-09","0.00","89","57"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-10","0.00","89","58"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-11","0.00","85","55"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-12","0.46","83","57"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-13","0.01","77","51"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-14","0.00","73","46"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-15","0.00","79","47"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-16","0.00","83","48"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-17","0.00","84","50"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-18","0.00","89","51"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","1998-09-19","0.19","81","52"
