"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-26","0.00","50","22"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-27","0.00","50","27"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-28","0.01","57","21"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-29","0.00","46","24"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-30","0.00","48","20"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1998-12-31","0.00","36","18"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-01","0.06","38","30"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-02","0.00","33","17"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-03","0.00","23","9"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-04","0.00","33","8"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-05","0.00","44","24"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-06","0.00","63","27"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-07","0.00","30","25"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-08","0.00","25","18"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-09","0.01","31","11"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-10","0.00","50","23"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-11","0.00","60","28"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-12","0.00","63","35"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-13","0.00","35","20"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-14","0.00","47","21"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-15","0.00","64","35"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-16","0.00","57","30"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-17","0.00","61","33"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-18","0.00","60","25"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-19","0.00","64","34"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-20","0.00","70","28"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-21","0.00","68","44"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-22","0.19","44","33"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-23","0.00","51","33"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-24","0.00","64","33"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-25","0.00","43","31"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-26","0.00","70","30"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-27","0.00","68","52"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-28","0.00","53","40"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-29","0.37","41","35"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-30","0.25","44","37"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-01-31","0.01","40","36"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-01","0.00","60","39"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-02","0.00","54","34"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-03","0.00","65","35"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-04","0.00","62","28"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-05","0.00","69","51"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-06","0.33","65","53"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-07","0.00","58","41"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-08","0.01","71","42"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-09","0.00","68","45"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-10","0.01","77","50"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-11","0.00","69","31"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-12","0.00","53","26"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-13","0.00","55","27"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-14","0.00","67","40"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-15","0.00","68","50"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-16","0.04","56","32"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-17","0.00","62","32"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-18","0.00","56","35"
"USW00053913","GUTHRIE MUNICIPAL AIRPORT, OK US","1999-02-19","0.00","52","31"
